Vocab Word|Page|Type of Plural|Arabic|Plural|Alt. Plural|Fem. Sing.|Fem. Plural|Part of Speech|Verb Type
boy|ix - Introduction|1a|وَلَد|وْلاد||||n|
reason|ix - Introduction|1a|سَبَب|أَسْباب||||n|
mistake|ix - Introduction|1a|غَلَط|أَغْلاط||||n|
light|ix - Introduction|1a|ضَوّ|ضْواو||||n|
day|ix - Introduction|1a|يَوْم|أَيّام||||n|
proverb|ix - Introduction|1a|مَثَل|أَمْثال||||n|
trap|ix - Introduction|1a|فَخَ|فْخاخ||||n|
hero, champion|ix - Introduction|1a|بَطَل|أَبْطال||||n|
champion, hero|ix - Introduction|1a|بَطَل|أَبْطال||||n|
individual|ix - Introduction|1a|فَرْد|أَفْراد||||n|
pain|ix - Introduction|1a|وَجَع|أَوْجاع||||n|
uncle|ix - Introduction|1a|عَمّ|عْمام||||n|
size|ix - Introduction|1a|حَجِم|أحْجام||||n|
suffering|ix - Introduction|1a|أَلَم|آلام||||n|
dog|ix - Introduction|1a|كَلْب|كْلاب||||n|
country; town|ix - Introduction|1a|بَلَد|بْلاد||||n|
town; country|ix - Introduction|1a|بَلَد|بْلاد||||n|
river|ix - Introduction|1a|نَهِر|أَنْهار||||n|
tendon|ix - Introduction|1a|وَتَر|أَوْتار||||n|
role; part; turn|ix - Introduction|1a|دَوْر|أَدْوار||||n|
part; role; turn|ix - Introduction|1a|دَوْر|أَدْوار||||n|
turn; role; part|ix - Introduction|1a|دَوْر|أَدْوار||||n|
puppy|ix - Introduction|1a|جَرُو|جْراوْ||||n|
thousand|ix - Introduction|1a|أَلْف|آلاف||||n|
thigh|ix - Introduction|1a|فَخِد|فْخاد||||n|
tunnel|ix - Introduction|1a|نَفَق|أَنْفاق||||n|
camel|ix - Introduction|1a|جَمَل|جْمال||||n|
homeland|ix - Introduction|1a|وَطَن|أَوْطان||||n|
damage|ix - Introduction|1a|ضَرَر|أَضْرار||||n|
husband|ix - Introduction|1a|جَوْز|جْواز||||n|
color|ix - Introduction|1a|لَوْن|أَلْوان||||n|
mountain|ix - Introduction|1a|جَبَل|جْبال||||n|
person|ix - Introduction|1a|شَخْص|أَشْخاص||||n|
kind, type, species|ix - Introduction|1a|نَوْع|أَنْواع||||n|
type, kind, species|ix - Introduction|1a|نَوْع|أَنْواع||||n|
species, kind, type|ix - Introduction|1a|نَوْع|أَنْواع||||n|
desire, longing|ix - Introduction|1a|شَوْق|أَشْواق||||n|
longing, desire|ix - Introduction|1a|شَوْق|أَشْواق||||n|
pen; pencil|ix - Introduction|1a|قَلَم|قْلام||||n|
pencil; pen|ix - Introduction|1a|قَلَم|قْلام||||n|
work, deed|ix - Introduction|1a|عَمَل|أَعْمال||||n|
deed, work|ix - Introduction|1a|عَمَل|أَعْمال||||n|
ghost|ix - Introduction|1a|شَبَح|أَشْباح||||n|
midget, dwarf|ix - Introduction|1a|قَزَم|أَقْزام||||n|
dwarf, midget|ix - Introduction|1a|قَزَم|أَقْزام||||n|
couple; husband|ix - Introduction|1a|زَوْج|زْواج||||n|
husband; couple|ix - Introduction|1a|زَوْج|زْواج||||n|
sickness; disease|ix - Introduction|1a|مَرَض|أَمْراض||||n|
disease; sickness|ix - Introduction|1a|مَرَض|أَمْراض||||n|
